sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
419,5,A,,Basis for Taxation,xbrli:monetaryItemType,0..1,,Basis for taxation,gl-cor,0,Tax Information,CO13a_05,/CO16a/CO15a/CO14a/CO13a/CO13a_05,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Basis for Taxation,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.BassTaxtn,課税基準,課税基準。,gl-cor:taxInfoBasisForTaxation,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-cor:taxInfoBasisForTaxation
420,5,A,,Percentage Rate,xbrli:pureItemType,0..1,,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,gl-cor,0,Tax Information,CO13a_06,/CO16a/CO15a/CO14a/CO13a/CO13a_06,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Percentage Rate,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.PercntgRat,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。",gl-cor:taxInfoPercentageRate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-cor:taxInfoPercentageRate
421,5,A,,Category,xbrli:stringItemType,0..1,,A class or category of taxes,gl-cor,0,Tax Information,CO13a_07,/CO16a/CO15a/CO14a/CO13a/CO13a_07,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Category,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.Catgry,税区分,税のクラス又はカテゴリ。,gl-cor:taxInfoCategory,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-cor:taxInfoCategory
422,5,A,,Comment/Exemption Reason,xbrli:stringItemType,0..1,,Additional text/code for exemption reasons or other comments.,gl-cor,0,Tax Information,CO13a_08,/CO16a/CO15a/CO14a/CO13a/CO13a_08,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Comment/Exemption Reason,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.CommntxmptnResn,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,gl-cor:taxInfoCommentExemptionReason,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-cor:taxInfoCommentExemptionReason
423,5,C,,Foreign to Local Currency Conversion,,0..*,,,gl-muc,0,Foreign to Local Currency Conversion,MC02c,/CO16a/CO15a/CO14a/CO13a/MC02c,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn,,,gl-muc:taxInfoForeignToLocalCurrencyConversion,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion
424,6,A,,Amount,xbrli:monetaryItemType,1,,"The amount after currency conversion, expressed in the target currency.",gl-muc,0,Foreign to Local Currency Conversion,MC02c_MC01_01,/CO16a/CO15a/CO14a/CO13a/MC02c/MC02c_MC01_01,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion.Amount,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn.Amnt,換算された金額,通貨換算後の金額。換算先の通貨で表される。,gl-muc:taxInfoForeignToLocalCurrencyConversionAmount,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion/gl-muc:taxInfoForeignToLocalCurrencyConversionAmount
425,6,A,,Currency,xbrli:QNameItemType,1,,"The currency in which the converted amount is expressed, identified using the ISO 4217 currency code.",gl-muc,0,Foreign to Local Currency Conversion,MC02c_MC01_02,/CO16a/CO15a/CO14a/CO13a/MC02c/MC02c_MC01_02,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion.Currency,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn.Currncy,金額の通貨,換算された金額が表される通貨。ISO 4217通貨コードで識別される。,gl-muc:taxInfoForeignToLocalCurrencyConversionCurrency,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion/gl-muc:taxInfoForeignToLocalCurrencyConversionCurrency
426,6,A,,Exchange Rate,xbrli:pureItemType,0..1,,"The exchange rate used for conversion, expressed as the amount of local (or functional) currency per unit of the target currency.",gl-muc,0,Foreign to Local Currency Conversion,MC02c_MC01_03,/CO16a/CO15a/CO14a/CO13a/MC02c/MC02c_MC01_03,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion.Exchange Rate,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn.ExchngRat,換算レート,換算に使用された為替レート。換算対象通貨1単位あたりの自国通貨（または機能通貨）で表される。,gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRate,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion/gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRate
427,6,A,,Exchange Rate Source,xbrli:stringItemType,0..1,,"The source from which the exchange rate was obtained, such as a financial information provider (e.g., Reuters, Bloomberg).",gl-muc,0,Foreign to Local Currency Conversion,MC02c_MC01_04,/CO16a/CO15a/CO14a/CO13a/MC02c/MC02c_MC01_04,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion.Exchange Rate Source,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn.ExchngRatSorc,為替レートの出典,為替レートの取得元。ReutersやBloombergなどの金融情報提供機関を含む。,gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateSource,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion/gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateSource
428,6,A,,Exchange Rate Type,xbrli:stringItemType,0..1,,"The type of exchange rate used, such as spot rate, forward rate, or other applicable rate classifications.",gl-muc,0,Foreign to Local Currency Conversion,MC02c_MC01_05,/CO16a/CO15a/CO14a/CO13a/MC02c/MC02c_MC01_05,$.Accounting Entries.Entry Header.Entry Detail.Tax Information.Foreign to Local Currency Conversion.Exchange Rate Type,AccntgEntrs.EntryHedr.EntryDetl.TaxInfrmn.ForgnLoclCurrncyConvrsn.ExchngRatType,為替レートの種類,使用された為替レートの種類。スポットレートやフォワードレートなどの区分を含む。,gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateType,/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDtl/gl-cor:taxInfo/gl-muc:taxInfoForeignToLocalCurrencyConversion/gl-muc:taxInfoForeignToLocalCurrencyConversionExchangeRateType
